Codigo,Nome,Volume
HAPV3,Hapvida,84864500
MGLU3,Magazine Luiza,65786100
VIIA3,Via,51955200
CIEL3,Cielo,27197000
PETZ3,Petz,20595100
COGN3,Cogna,20276900
MRVE3,MRV,19999700
PETR4,Petrobras,18308000
HBSA3,Hidrovias do Brasil,15821400
CVCB3,CVC,13233500
VALE3,Vale,12573200
ABEV3,Ambev,12338500
LREN3,Lojas Renner,12248000
BBDC4,Banco Bradesco,10867700
RAIZ4,Raízen,10758800
B3SA3,B3,10252000
OIBR3,Oi,10159100
GOLL4,GOL,9647200
PRIO3,PetroRio,9197300
BRKM5,Braskem,8553500
RAIL3,Rumo,8371000
ITUB4,Itaú Unibanco,8159900
ITSA4,Itaúsa,7968100
CPLE6,Copel,7904400
POMO4,Marcopolo,7621300
USIM5,Usiminas,7289200
BRFS3,BRF,7108100
BEEF3,Minerva,7011000
MRFG3,Marfrig,6719000
PCAR3,Grupo Pão de Açúcar,6693100
AZUL4,Azul,6670900
IFCM3,Infracommerce,6630600
VAMO3,Grupo Vamos,6628200
CBAV3,CBA,6393900
ASAI3,Assaí,6324500
CSNA3,Siderúrgica Nacional,6272100
RDOR3,Rede D'Or,6228900
AERI3,Aeris Energy,6095500
ELET3,Eletrobras,5873300
AMER3,Americanas,5630600
GGBR4,Gerdau,5099400
SEQL3,Sequoia Logística,4868600
CMIG4,CEMIG,4702400
ANIM3,Ânima Educação,4699600
TEND3,Construtora Tenda,4393800
JBSS3,JBS,4342100
ENBR3,EDP Brasil,4312500
SOMA3,Grupo Soma,4198900
CMIN3,CSN Mineração,4094600
RADL3,RaiaDrogasil,3999100
YDUQ3,YDUQS,3987100
CSAN3,Cosan,3853600
RCSL3,Recrusul,3849500
BBAS3,Banco do Brasil,3786400
TRAD3,Traders Club,3726700
CCRO3,Grupo CCR,3638000
RAPT4,Randon,3626100
RENT3,Localiza,3595600
SUZB3,Suzano,3587800
AMAR3,Lojas Marisa,3564400
LJQQ3,Lojas Quero-Quero,3546500
LWSA3,Locaweb,3543000
GGPS3,GPS,3425000
ALPA4,Alpargatas,3386500
TIMS3,TIM,3321400
GMAT3,Grupo Mateus,3302000
CYRE3,Cyrela,3269400
VBBR3,Vibra Energia,3224100
EQTL3,Equatorial Energia,3175800
EMBR3,Embraer,3085000
PETR3,Petrobras,3077800
ALSO3,Aliansce Sonae,3049700
BBSE3,BB Seguridade,3024400
LIGT3,Light,2910400
GOAU4,Metalúrgica Gerdau,2907100
CEAB3,C&A,2828200
ECOR3,EcoRodovias,2735200
SIMH3,Simpar,2724000
WEGE3,WEG,2692200
AZEV4,Azevedo & Travassos,2679300
MULT3,Multiplan,2672800
BRIT3,Brisanet,2532700
RRRP3,3R Petroleum,2514900
CRFB3,Carrefour Brasil,2399100
BBDC3,Banco Bradesco,2384800
GUAR3,Guararapes,2384000
MOVI3,Movida,2329900
MBLY3,Mobly,2324200
SEER3,Ser Educacional,2290900
NTCO3,Natura,2252400
DXCO3,Dexco,2192100
ESPA3,Espaçolaser,2178200
KLBN4,Klabin,2153600
ONCO3,Oncoclínicas,2049100
FLRY3,Fleury,2034300
INTB3,Intelbras,2002600
GFSA3,Gafisa,2000600
CURY3,Cury,1984600
BRAP4,Bradespar,1943600
ENEV3,Eneva,1930300
QUAL3,Qualicorp,1910000
JHSF3,JHSF,1909000
BPAN4,Banco Pan,1866100
SMFT3,Smart Fit,1852800
IRBR3,IRB Brasil RE,1831100
DIRR3,Direcional,1829200
AMBP3,Ambipar,1798300
UGPA3,Ultrapar,1789300
MLAS3,Multilaser,1641600
CASH3,Méliuz,1587200
EZTC3,EZTEC,1513800
SLCE3,SLC Agrícola,1472700
STBP3,Santos Brasil,1467600
CXSE3,Caixa Seguridade,1437300
KEPL3,Kepler Weber,1420000
PTBL3,Portobello,1402600
SAPR4,Sanepar,1378000
GRND3,Grendene,1286700
HYPE3,Hypera,1284200
SBSP3,Sabesp,1278000
TOTS3,Totvs,1264000
OPCT3,OceanPact,1221200
ELET6,Eletrobras,1212400
ODPV3,Odontoprev,1204000
SMTO3,São Martinho,1177200
MYPK3,Iochpe-Maxion,1143100
